dataset,estimator,rel_rmse_shared,rel_rmse_disjoint
hillstrom,bips,0.0305,0.0631
hillstrom,dm,0.0312,0.0595
hillstrom,dr,0.0353,0.0635
hillstrom,ips,0.0305,0.0631
hillstrom,perturbation_dr,0.0353,0.0602
hillstrom,snips,0.0313,0.0622
hillstrom,switch_dr,0.0353,0.0635
jobs,bips,0.0759,0.162
jobs,dm,0.0845,0.1391
jobs,dr,0.0765,0.1515
jobs,ips,0.0759,0.1628
jobs,perturbation_dr,0.0811,0.145
jobs,snips,0.0752,0.1469
jobs,switch_dr,0.0765,0.1515
lenta,bips,0.0434,0.0653
lenta,dm,0.0421,0.0624
lenta,dr,0.0405,0.0648
lenta,ips,0.0435,0.0653
lenta,perturbation_dr,0.0442,0.0644
lenta,snips,0.0433,0.0681
lenta,switch_dr,0.0405,0.0648
